Data de conversão de Euro;Moedas;Taxa (Euro);Convertido para BRL
14-03-2025;USD;1.09;5.75
14-03-2025;JPY;161.88;0.04
14-03-2025;BGN;1.96;3.2
14-03-2025;CZK;25.01;0.25
14-03-2025;DKK;7.46;0.84
14-03-2025;GBP;0.84;7.46
14-03-2025;HUF;399.48;0.02
14-03-2025;PLN;4.17;1.5
14-03-2025;RON;4.98;1.26
14-03-2025;SEK;11.05;0.57
14-03-2025;CHF;0.96;6.53
14-03-2025;ISK;145.90;0.04
14-03-2025;NOK;11.62;0.54
14-03-2025;TRY;39.94;0.16
14-03-2025;AUD;1.72;3.64
14-03-2025;BRL;6.27;1.0
14-03-2025;CAD;1.57;3.99
14-03-2025;CNY;7.88;0.8
14-03-2025;HKD;8.46;0.74
14-03-2025;IDR;17811.63;0.0
14-03-2025;ILS;4.00;1.57
14-03-2025;INR;94.67;0.07
14-03-2025;KRW;1582.87;0.0
14-03-2025;MXN;21.76;0.29
14-03-2025;MYR;4.84;1.3
14-03-2025;NZD;1.90;3.3
14-03-2025;PHP;62.37;0.1
14-03-2025;SGD;1.45;4.32
14-03-2025;THB;36.66;0.17
14-03-2025;ZAR;19.78;0.32
